pca_components,hidden_layers,activation,optimizer,lr,dropout,use_batchnorm,epochs,batch_size,w_init,accuracy,f1_score
50,"128,64,32",relu,adam,0.0001,0.7,True,50,64,he,0.2359,0.0663
50,"128,64,32",relu,adam,0.0001,0.7,True,50,128,xavier,0.1929,0.0665
50,"128,64,32",relu,adam,0.0001,0.7,True,50,128,he,0.1944,0.0556
50,"128,64,32",relu,adam,0.0001,0.7,False,50,64,xavier,0.2145,0.1333
50,"128,64,32",relu,adam,0.0001,0.7,False,50,64,he,0.1702,0.1164
50,"128,64,32",relu,adam,0.0001,0.7,False,50,128,xavier,0.1958,0.0693
50,"128,64,32",relu,adam,0.0001,0.7,False,50,128,he,0.2056,0.055
50,"128,64,32",relu,sgd_momentum,0.01,0.3,True,50,64,xavier,0.3579,0.255
50,"128,64,32",relu,sgd_momentum,0.01,0.3,True,50,64,he,0.3355,0.2586
50,"128,64,32",relu,sgd_momentum,0.01,0.3,True,50,128,xavier,0.3447,0.2345
50,"128,64,32",relu,sgd_momentum,0.01,0.3,True,50,128,he,0.3147,0.2643
50,"128,64,32",relu,sgd_momentum,0.01,0.3,False,50,64,xavier,0.3604,0.2536
50,"128,64,32",relu,sgd_momentum,0.01,0.3,False,50,64,he,0.3342,0.2505
50,"128,64,32",relu,sgd_momentum,0.01,0.3,False,50,128,xavier,0.3435,0.2768
50,"128,64,32",relu,sgd_momentum,0.01,0.3,False,50,128,he,0.2957,0.2482
50,"128,64,32",relu,sgd_momentum,0.01,0.5,True,50,64,xavier,0.315,0.2149
50,"128,64,32",relu,sgd_momentum,0.01,0.5,True,50,64,he,0.3058,0.2482
50,"128,64,32",relu,sgd_momentum,0.01,0.5,True,50,128,xavier,0.292,0.2349
50,"128,64,32",relu,sgd_momentum,0.01,0.5,True,50,128,he,0.2759,0.2202
50,"128,64,32",relu,sgd_momentum,0.01,0.5,False,50,64,xavier,0.3171,0.2414
50,"128,64,32",relu,sgd_momentum,0.01,0.5,False,50,64,he,0.256,0.2056
50,"128,64,32",relu,sgd_momentum,0.01,0.5,False,50,128,xavier,0.2932,0.2563
50,"128,64,32",relu,sgd_momentum,0.01,0.5,False,50,128,he,0.1793,0.1014
50,"128,64,32",relu,sgd_momentum,0.01,0.7,True,50,64,xavier,0.2213,0.0887
50,"128,64,32",relu,sgd_momentum,0.01,0.7,True,50,64,he,0.1948,0.053
50,"128,64,32",relu,sgd_momentum,0.01,0.7,True,50,128,xavier,0.1952,0.0383
50,"128,64,32",relu,sgd_momentum,0.01,0.7,True,50,128,he,0.1892,0.0484
50,"128,64,32",relu,sgd_momentum,0.01,0.7,False,50,64,xavier,0.2053,0.1575
50,"128,64,32",relu,sgd_momentum,0.01,0.7,False,50,64,he,0.1491,0.001
50,"128,64,32",relu,sgd_momentum,0.01,0.7,False,50,128,xavier,0.1816,0.0929
50,"128,64,32",relu,sgd_momentum,0.01,0.7,False,50,128,he,0.1602,0.2313
50,"128,64,32",relu,sgd_momentum,0.001,0.3,True,50,64,xavier,0.2666,0.2464
50,"128,64,32",relu,sgd_momentum,0.001,0.3,True,50,64,he,0.2527,0.1905
50,"128,64,32",relu,sgd_momentum,0.001,0.3,True,50,128,xavier,0.2389,0.2852
50,"128,64,32",relu,sgd_momentum,0.001,0.3,True,50,128,he,0.2163,0.0828
50,"128,64,32",relu,sgd_momentum,0.001,0.3,False,50,64,xavier,0.2699,0.2765
50,"128,64,32",relu,sgd_momentum,0.001,0.3,False,50,64,he,0.2314,0.0176
50,"128,64,32",relu,sgd_momentum,0.001,0.3,False,50,128,xavier,0.2541,0.139
50,"128,64,32",relu,sgd_momentum,0.001,0.3,False,50,128,he,0.1596,0.052
50,"128,64,32",relu,sgd_momentum,0.001,0.5,True,50,64,xavier,0.2073,0.0837
50,"128,64,32",relu,sgd_momentum,0.001,0.5,True,50,64,he,0.1754,0.168
50,"128,64,32",relu,sgd_momentum,0.001,0.5,True,50,128,xavier,0.1993,0.0442
50,"128,64,32",relu,sgd_momentum,0.001,0.5,True,50,128,he,0.1874,0.2762
50,"128,64,32",relu,sgd_momentum,0.001,0.5,False,50,64,xavier,0.216,0.1226
50,"128,64,32",relu,sgd_momentum,0.001,0.5,False,50,64,he,0.1452,0.7294
50,"128,64,32",relu,sgd_momentum,0.001,0.5,False,50,128,xavier,0.1816,0.0592
50,"128,64,32",relu,sgd_momentum,0.001,0.5,False,50,128,he,0.1095,0.0
50,"128,64,32",relu,sgd_momentum,0.001,0.7,True,50,64,xavier,0.1178,0.039
50,"128,64,32",relu,sgd_momentum,0.001,0.7,True,50,64,he,0.1366,0.1977
50,"128,64,32",relu,sgd_momentum,0.001,0.7,True,50,128,xavier,0.1583,0.1992
50,"128,64,32",relu,sgd_momentum,0.001,0.7,True,50,128,he,0.1116,0.0182
50,"128,64,32",relu,sgd_momentum,0.001,0.7,False,50,64,xavier,0.1059,0.0117
50,"128,64,32",relu,sgd_momentum,0.001,0.7,False,50,64,he,0.1047,0.0157
50,"128,64,32",relu,sgd_momentum,0.001,0.7,False,50,128,xavier,0.1063,0.0
50,"128,64,32",relu,sgd_momentum,0.001,0.7,False,50,128,he,0.1046,0.0
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,True,50,64,xavier,0.1747,0.1663
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,True,50,64,he,0.1579,0.0513
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,True,50,128,xavier,0.1589,0.2511
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,True,50,128,he,0.1427,0.0706
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,False,50,64,xavier,0.159,0.2542
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,False,50,64,he,0.1282,0.0379
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,False,50,128,xavier,0.1374,0.1959
50,"128,64,32",relu,sgd_momentum,0.0001,0.3,False,50,128,he,0.1215,0.0413
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,True,50,64,xavier,0.1323,0.0894
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,True,50,64,he,0.1533,0.0967
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,True,50,128,xavier,0.139,0.0225
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,True,50,128,he,0.1358,0.2738
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,False,50,64,xavier,0.1553,0.3372
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,False,50,64,he,0.0999,0.0016
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,False,50,128,xavier,0.1025,0.2247
50,"128,64,32",relu,sgd_momentum,0.0001,0.5,False,50,128,he,0.1161,0.1062
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,True,50,64,xavier,0.1097,0.2246
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,True,50,64,he,0.1142,0.001
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,True,50,128,xavier,0.1142,0.0307
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,True,50,128,he,0.1148,0.0923
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,False,50,64,xavier,0.1128,0.0002
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,False,50,64,he,0.0986,0.0
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,False,50,128,xavier,0.108,0.0478
50,"128,64,32",relu,sgd_momentum,0.0001,0.7,False,50,128,he,0.1003,0.264
50,"128,64,32",gelu,adam,0.01,0.3,True,50,64,xavier,0.2936,0.2485
